,id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,power_units,hp_or_lbs,carb_fuel_injection,subcategory_no,ev_date,ev_dow,ev_time,ev_country,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,apt_name,apt_dist,apt_dir,apt_elev,wx_obs_time,wx_obs_dir,wx_obs_elev,wx_obs_dist,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,wx_cond_basic
2711,20120103X535441,091,NONE,QUICKSILVER,MXL II,2.0,1.0,FIXD,850.0,AIR,N,COND,156.0,157.0,Y,PERS,N,,1800.0,,N,N,34.0,DSTU,M,No,N,,,1,REC,ROTAX,65.0,HP,CARB,6,2011-12-18,Su,2000.0,USA,2011,12,,,030220N,0914315W,,0.0,,,1953.0,268.0,24.0,8.0,DAYL,CLER,0.0,0.0,NONE,,,,64.0,32.0,0.0,Y,5.0,T,T,0.0,30.299999237060547,,,SERS,,,,0,0,0,2,2.0,VMC
2712,20120103X020431,091,NONE,CONTINENTAL COPTERS INC.,47G2,2.0,1.0,FIXD,2350.0,HELI,N,ANNL,68.0,9057.0,Y,AOBV,N,,1900.0,,N,N,14000.0,PLT,M,Yes,N,,,1,REC,LYCOMING,250.0,HP,CARB,4,2012-01-01,Su,2000.0,USA,2012,1,,,311930N,0992430W,,0.0,,,2135.0,162.0,1827.0,12.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,55.0,21.0,340.0,U,12.0,F,T,0.0,30.520000457763672,,,SERS,,,,0,0,0,2,2.0,VMC
2713,20120104X417111,091,NONE,BUTLER JOHN R,SX 300,2.0,1.0,FIXD,2400.0,AIR,Y,COND,,1350.0,Y,PERS,N,TCS ,1830.0,TCS ,N,N,1296.0,PLT,M,UNK,N,,,1,REC,LYCOMING,300.0,HP,FINJ,3,2012-01-03,Tu,1830.0,USA,2012,1,,,331413N,1071618W,Truth or Consequences Municipa,0.0,,4853.0,,0.0,,0.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,50.0,0.0,0.0,U,,F,F,0.0,0.0,,,NONE,,,,0,0,1,0,1.0,VMC
2714,20120104X924391,PUBU,CVFR,CESSNA,172P,4.0,1.0,FIXD,2550.0,AIR,N,ANNL,89.0,4757.0,Y,PUBF,N,KIWS,320.0,KCXO,N,N,108.0,PLT,F,No,N,,,1,REC,Lycoming,180.0,HP,CARB,5,2012-01-04,We,345.0,USA,2012,1,,,301831N,0095270W,,0.0,,,353.0,0.0,,0.0,NDRK,CLER,0.0,0.0,NONE,,,10.0,32.0,27.0,0.0,U,,F,F,0.0,30.61000061035156,,,NONE,,,,0,0,1,0,1.0,VMC
2715,20120106X455421,091,NONE,AVIAT AIRCRAFT INC,A-1C-180,2.0,1.0,FIXD,,AIR,N,ANNL,26.0,26.0,Y,PERS,N,T31 ,,T31 ,N,N,1813.0,PLT,M,No,N,,,1,REC,Lycoming,180.0,HP,CARB,4,2011-12-04,Su,148.0,USA,2011,12,,,331230N,0964430W,Aero Country Airport,0.0,,,127.0,90.0,585.0,7.0,NDRK,CLER,0.0,3900.0,BKN,,,5.0,54.0,52.0,0.0,U,,F,F,0.0,30.059999465942383,,,SERS,,,,0,0,0,1,1.0,VMC
2716,20120108X853581,091,NONE,LUSCOMBE,8A,2.0,1.0,FIXD,1260.0,AIR,N,ANNL,,3362.0,Y,PERS,N,DED ,1800.0,DED ,N,N,1666.0,PLT,M,No,N,,,1,REC,CONT MOTOR,65.0,HP,CARB,2,2012-01-07,Sa,1900.0,USA,2012,1,,,285516N,0081394W,Umatilla Municipal Airport,0.0,,107.0,1855.0,270.0,88.0,11.0,DAYL,CLER,0.0,0.0,,,,10.0,75.0,52.0,260.0,U,5.0,F,T,0.0,30.1200008392334,,,NONE,,,,0,0,1,0,1.0,VMC
2717,20120109X647511,091,NONE,BOWERS FLY BABY,1-A,2.0,1.0,FIXD,924.0,AIR,Y,,,,Y,PERS,N,19A ,1630.0,19A ,N,N,2082.0,PLT,M,No,Y,,,1,REC,CONT MOTOR,85.0,HP,CARB,5,2012-01-08,Su,1630.0,USA,2012,1,,,341020N,0833325W,Jackson County Airport,0.0,,951.0,1635.0,0.0,951.0,0.0,DAYL,SCAT,4200.0,12000.0,BKN,,,7.0,54.0,54.0,0.0,U,,F,F,0.0,30.200000762939453,,,FATL,,,,1,0,0,0,1.0,VMC
2718,20120110X024541,091,NONE,Sanderson,Pitts Special SPS-1,1.0,1.0,FIXD,1219.0,AIR,Y,COND,,1053.0,Y,PERS,N,MDS ,1600.0,FBL ,N,N,2652.0,PLT,M,Yes,N,,,1,REC,Lycoming,180.0,HP,CARB,7,2012-01-05,Th,1630.0,USA,2012,1,,,431348N,0095180W,,0.0,,,1515.0,315.0,1183.0,20.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,45.0,25.0,230.0,U,15.0,F,T,0.0,29.780000686645508,,,NONE,,,,0,0,1,0,1.0,VMC
2719,20120111X721511,091,NONE,INFINITY POWER PARACHUTES LLC,CLASSIC 2002,2.0,1.0,FIXD,,PPAR,N,100H,,100.4000015258789,Y,PERS,N,,,,N,N,633.0,PLT,M,No,N,,,1,REC,ROTAX,65.0,HP,CARB,6,2012-01-11,We,1935.0,USA,2012,1,,,452638N,0844712W,,0.0,,,1954.0,360.0,,8.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,46.0,34.0,80.0,U,3.0,F,T,0.0,29.600000381469727,,,SERS,,,,0,1,0,1,2.0,VMC
2720,20120112X509461,091,UNK,CESSNA,150J,2.0,1.0,FIXD,1600.0,AIR,N,ANNL,30.0,8252.0,Y,PERS,N,KMTW,245.0,KETB,N,N,4767.0,PLT,M,No,N,,,1,REC,CONT MOTOR,100.0,HP,CARB,6,2012-01-12,Th,445.0,USA,2012,1,,,442022N,0874915W,,0.0,,,453.0,0.0,,0.0,NITE,SCAT,10000.0,0.0,NONE,,,6.0,34.0,28.0,10.0,U,7.0,F,F,0.0,29.540000915527344,,,SERS,,,,0,0,0,1,1.0,VMC
