id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140908X104481,137,UNK,ROBINSON HELICOPTER COMPANY,R44 II,,1.0,FIXD,2500.0,HELI,N,100H,2.0,1183.4000244140625,Y,C126,,Y,AAPL,N,RDK ,,RDK ,N,N,1522.0,PLT,,Yes,Y,,3,1,REC,LYCOMING,IO-540 AE1A5,205.0,HP,FINJ,,6
20140908X527071,091,NONE,PIPER,PA 28-140,4.0,1.0,FIXD,2150.0,AIR,N,100H,,10300.0,Y,C91A,,Y,INST,N,E80 ,,E80 ,N,N,19.0,DSTU,,No,N,,L,1,REC,LYCOMING,0-320 SERIES,160.0,HP,CARB,FIXP,6
20140908X235161,091,NONE,BACKOVICH GEORGE C,G P 5,1.0,,RETR,,AIR,Y,COND,,128.1999969482422,N,,,Y,ASHO,N,RTS ,2211.0,RTS ,N,N,9000.0,PLT,M,UNK,Y,,4,1,REC,Chevy,V8,625.0,HP,FINJ,,3
20140909X928141,137,NONE,AYRES CORPORATION,S2R T34,1.0,1.0,FIXD,,AIR,N,UNK,,,,,,Y,AAPL,N,,1700.0,,N,N,300.0,PLT,M,Yes,N,,U,1,TP,P&W CANADA,PT6A-60A,1127.0,HP,,,7
20140910X935471,091,NONE,CAMPBELL,SUPER BEARHAWK,2.0,1.0,FIXD,3200.0,AIR,Y,COND,,43.25,Y,,,Y,PERS,N,,1545.0,,N,N,129.0,PLT,,No,N,,3,1,REC,Continental,IO-470E,255.0,HP,CARB,CONP,6
20140911X314361,135,CVFR,CESSNA,185,4.0,1.0,FIXD,3200.0,AIR,N,100H,,3991.0,Y,C91,,Y,,N,,,GKN ,N,N,28000.0,PLT,,Yes,N,,3,1,REC,Continental,IO-550,300.0,HP,FINJ,CONP,2
20140911X323311,091,NONE,FOUND ACFT CANADA INC,FBA 2C1,5.0,1.0,FIXD,3500.0,AIR,N,ANNL,,759.0,Y,UNK,,Y,PERS,N,MYL ,1535.0,U70 ,N,N,1806.0,PLT,,Yes,N,,3,1,REC,Lycoming,IO-540-L1C5,300.0,HP,FINJ,,6
20140911X339521,091,VFIF,CESSNA,172P,4.0,1.0,FIXD,2299.0,AIR,N,100H,,8312.0,Y,,"Liao Aviation, Inc.",Y,INST,Y,7FL6,2057.0,7FL6,N,N,292.0,FLTI,,Yes,N,,3,1,REC,LYCOMING,O-320 SERIES,160.0,HP,CARB,FIXP,7
20140912X722361,135,CVFR,BELL,206,7.0,1.0,FIXD,4450.0,HELI,N,AAIP,67.0,4297.0,Y,,,Y,,N,FHU ,1750.0,FHU ,N,N,10800.0,PLT,M,Yes,N,,3,1,TS,ROLLS-ROYCE,250 C30P,650.0,HP,,,7
20140913X306081,091,VFR,PIPER,PA 18-135,3.0,1.0,FIXD,1349.0,AIR,N,ANNL,,,Y,C126,,Y,PERS,N,,,LHD ,N,N,8000.0,PLT,,Yes,N,,3,1,REC,LYCOMING,O-320,160.0,HP,CARB,FIXP,6
